city_ID,city,cloudiness,country,date,humidity,latitude,longitude,max_temp,wind_speed
78,batken,100.0,KG,1586568304.0,31.0,39.83,71.0,0.75,2.8
79,attawapiskat,,,,,,,,
80,busselton,33.0,AU,1586568307.0,68.0,-33.65,115.33,21.11,1.79
81,port elizabeth,0.0,ZA,1586568307.0,100.0,-33.92,25.57,13.0,1.0
82,jutai,98.0,BR,1586568307.0,93.0,-5.18,-68.9,24.42,0.61
83,kamenskoye,,,,,,,,
84,katsuura,40.0,JP,1586568308.0,43.0,35.13,140.3,14.44,4.6
85,souillac,40.0,MU,1586568308.0,83.0,-20.52,57.52,25.56,5.1
86,auki,53.0,SB,1586568308.0,73.0,-8.77,160.7,28.63,1.91
87,martapura,75.0,ID,1586568309.0,94.0,-3.42,114.85,26.0,3.1
88,mount isa,100.0,AU,1586568108.0,20.0,-20.73,139.5,29.0,5.1
89,madimba,40.0,TZ,1586568309.0,94.0,-10.4,40.33,25.0,3.6
90,mys shmidta,,,,,,,,
91,bredasdorp,71.0,ZA,1586568310.0,93.0,-34.53,20.04,15.0,0.5
92,harper,29.0,LR,1586568310.0,82.0,4.38,-7.72,27.12,2.49
93,sinnai,0.0,IT,1586568310.0,87.0,39.3,9.2,8.0,2.1
94,port moresby,40.0,PG,1586568312.0,74.0,-9.44,147.18,31.0,2.6
95,la ronge,40.0,CA,1586568312.0,58.0,55.1,-105.28,-2.0,8.2
96,matara,5.0,LK,1586568232.0,88.0,5.95,80.54,24.94,3.12
97,kinsale,75.0,IE,1586568312.0,82.0,51.71,-8.53,14.0,3.1
98,mount gambier,40.0,AU,1586568312.0,51.0,-37.83,140.77,15.0,9.8
99,olafsvik,26.0,IS,1586568313.0,80.0,64.89,-23.71,2.43,6.61
100,cherskiy,100.0,RU,1586568313.0,90.0,68.75,161.3,-10.89,10.02
101,arklow,75.0,IE,1586568313.0,93.0,52.79,-6.14,12.78,1.5
102,bluff,0.0,NZ,1586567697.0,61.0,-46.6,168.33,13.83,2.71
103,sao filipe,2.0,CV,1586568314.0,75.0,14.9,-24.5,23.87,5.95
104,saldanha,50.0,ZA,1586568314.0,93.0,-33.01,17.94,16.0,1.5
105,nedjo,27.0,ET,1586568314.0,47.0,9.5,35.5,16.18,0.84
106,fortuna,90.0,US,1586568314.0,87.0,40.6,-124.16,16.11,4.45
107,verrettes,23.0,HT,1586568315.0,78.0,19.05,-72.47,28.0,2.6
108,ocos,40.0,GT,1586568315.0,74.0,14.51,-92.19,30.0,1.0
109,yarkovo,33.0,RU,1586568315.0,90.0,57.4,67.08,1.36,2.54
110,zaltan,99.0,LY,1586568316.0,51.0,32.95,11.87,17.36,6.92
111,aden,0.0,YE,1586568050.0,76.0,12.78,45.04,27.3,6.42
112,komsomolskiy,98.0,UZ,1586568316.0,53.0,40.43,71.72,10.0,1.0
113,maues,44.0,BR,1586568316.0,90.0,-3.38,-57.72,24.96,0.76
114,tessalit,85.0,ML,1586568317.0,13.0,20.2,1.01,27.68,3.26
115,onda,100.0,ES,1586568317.0,87.0,39.97,-0.25,14.44,0.5
116,nikolskoye,90.0,RU,1586568350.0,95.0,59.7,30.79,0.0,4.0
117,brae,100.0,GB,1586568319.0,93.0,60.4,-1.35,7.0,5.7
118,bertoua,98.0,CM,1586568351.0,80.0,4.58,13.68,21.97,1.34
119,tsihombe,,,,,,,,
120,panaba,18.0,MX,1586568351.0,50.0,21.28,-88.27,29.84,3.6
121,samarai,55.0,PG,1586568352.0,68.0,-10.62,150.67,28.59,3.32
122,buala,11.0,SB,1586568352.0,73.0,-8.14,159.59,29.14,3.79
123,freetown,96.0,SL,1586568352.0,85.0,8.48,-13.23,26.53,1.65
124,puerto princesa,20.0,PH,1586568120.0,59.0,9.74,118.74,32.0,6.2
125,saint-philippe,20.0,RE,1586568353.0,78.0,-21.36,55.77,25.0,4.6
126,okhotsk,0.0,RU,1586568353.0,92.0,59.38,143.3,-1.44,2.93
127,mecca,38.0,SA,1586568220.0,28.0,21.43,39.83,21.52,2.61
128,aripuana,95.0,BR,1586568353.0,93.0,-9.17,-60.63,23.77,0.38
129,arraial do cabo,75.0,BR,1586568268.0,88.0,-22.97,-42.03,22.0,1.58
130,belmonte,90.0,BR,1586568292.0,94.0,-15.86,-38.88,24.0,1.5
131,hithadhoo,63.0,MV,1586568356.0,63.0,-0.6,73.08,29.1,3.14
132,kaitangata,0.0,NZ,1586568357.0,55.0,-46.28,169.85,16.06,1.43
133,ribeira grande,19.0,PT,1586568243.0,76.0,38.52,-28.7,16.65,2.07
134,cidreira,5.0,BR,1586568357.0,76.0,-30.18,-50.21,18.12,3.0
