city_ID,city,cloudiness,country,date,humidity,latitude,longitude,max_temp,wind_speed
78,daru,50.0,PG,1586574088.0,73.0,-9.08,143.21,84.31,8.81
79,cape town,40.0,ZA,1586574071.0,93.0,-33.93,18.42,62.6,10.29
80,saldanha,84.0,ZA,1586574088.0,88.0,-33.01,17.94,62.6,3.36
81,victor harbor,40.0,AU,1586574088.0,42.0,-35.57,138.62,68.0,19.46
82,saint-philippe,39.0,RE,1586574045.0,73.0,-21.36,55.77,77.0,9.17
83,beloha,19.0,MG,1586574089.0,84.0,-25.17,45.05,70.25,13.69
84,nanortalik,100.0,GL,1586574040.0,90.0,60.14,-45.24,32.27,4.52
85,livny,94.0,RU,1586574089.0,78.0,52.43,37.61,35.53,8.81
86,chiredzi,98.0,ZW,1586574089.0,77.0,-21.05,31.67,61.45,1.63
87,salt,75.0,JO,1586574090.0,87.0,32.04,35.73,50.0,11.41
88,bumba,91.0,CD,1586574090.0,73.0,2.18,22.47,72.73,0.67
89,roma,90.0,US,1586574090.0,80.0,43.21,-75.46,39.2,11.41
90,tomatlan,28.0,MX,1586574039.0,52.0,19.93,-105.25,76.37,10.4
91,bambous virieux,40.0,MU,1586574091.0,83.0,-20.34,57.76,78.01,6.93
92,tuatapere,2.0,NZ,1586574091.0,49.0,-46.13,167.68,70.0,7.0
93,port alfred,13.0,ZA,1586574091.0,87.0,-33.59,26.89,64.45,6.2
94,jitia,29.0,RO,1586574091.0,70.0,45.58,26.72,36.0,23.0
95,pangoa,49.0,PE,1586574091.0,76.0,-12.12,-73.0,66.47,1.14
96,okha,0.0,RU,1586574092.0,92.0,53.57,142.95,32.31,7.34
97,khatanga,96.0,RU,1586573976.0,95.0,71.97,102.5,26.35,26.62
98,kavaratti,38.0,IN,1586574092.0,70.0,10.57,72.64,84.74,7.38
99,kaitangata,0.0,NZ,1586574043.0,52.0,-46.28,169.85,63.21,5.35
100,suruc,75.0,TR,1586574092.0,100.0,36.98,38.42,46.4,1.95
101,saint-paul,40.0,RE,1586574093.0,78.0,-21.01,55.27,77.0,11.41
102,san ramon de la nueva oran,36.0,AR,1586574093.0,60.0,-23.13,-64.33,62.62,2.21
103,talaya,14.0,RU,1586574093.0,84.0,61.38,152.75,25.3,8.1
104,cherepanovo,0.0,RU,1586574093.0,87.0,54.22,83.38,34.0,7.05
105,clyde river,75.0,CA,1586574094.0,91.0,70.47,-68.59,3.2,19.46
106,lompoc,1.0,US,1586574000.0,82.0,34.64,-120.46,59.0,11.41
107,waipawa,0.0,NZ,1586574094.0,63.0,-41.41,175.52,64.4,24.16
108,kapaa,75.0,US,1586574094.0,65.0,22.08,-159.32,78.8,6.93
109,evanston,40.0,US,1586573867.0,56.0,42.04,-87.69,45.0,3.36
110,tuensang,0.0,IN,1586574095.0,17.0,26.28,94.83,82.89,2.55
111,kodiak,1.0,US,1586574055.0,69.0,57.79,-152.41,39.2,9.17
112,illoqqortoormiut,,,,,,,,
113,upernavik,0.0,GL,1586574095.0,85.0,72.79,-56.15,10.89,9.78
114,mount isa,57.0,AU,1586574096.0,16.0,-20.73,139.5,87.8,14.99
115,kuliyapitiya,20.0,LK,1586574096.0,78.0,7.47,80.04,82.4,4.7
116,victoria,40.0,HK,1586573830.0,83.0,22.29,114.16,75.2,5.82
117,belushya guba,,,,,,,,
118,antofagasta,20.0,CL,1586574096.0,88.0,-23.65,-70.4,64.4,6.93
119,tambura,99.0,SS,1586574096.0,76.0,5.6,27.47,70.81,4.09
120,bredasdorp,100.0,ZA,1586574097.0,82.0,-34.53,20.04,62.6,8.05
121,ilulissat,61.0,GL,1586574097.0,46.0,69.22,-51.1,30.2,10.29
122,guamuchil,11.0,MX,1586574097.0,36.0,25.47,-108.1,66.11,2.95
123,myanaung,72.0,MM,1586574098.0,31.0,18.28,95.32,93.51,2.3
124,kidal,33.0,ML,1586574098.0,21.0,18.44,1.41,81.63,6.53
125,waingapu,42.0,ID,1586574098.0,64.0,-9.66,120.26,85.14,7.56
126,aripuana,75.0,BR,1586574098.0,94.0,-9.17,-60.63,73.63,1.25
127,castro,42.0,BR,1586574098.0,72.0,-24.79,-50.01,55.53,5.37
128,dire dawa,10.0,ET,1586574099.0,48.0,9.59,41.87,70.9,8.21
129,lotofaga,90.0,WS,1586574099.0,84.0,-13.98,-171.86,86.0,10.07
130,viedma,0.0,AR,1586574099.0,41.0,-40.81,-63.0,65.89,19.95
131,mundo nuevo,17.0,MX,1586574099.0,91.0,18.7,-95.5,79.03,6.02
132,port hedland,0.0,AU,1586574100.0,23.0,-20.32,118.57,95.0,8.05
133,port-de-paix,,,,,,,,
134,storforshei,100.0,NO,1586574100.0,91.0,66.4,14.52,22.14,1.68
135,vardo,100.0,NO,1586574100.0,90.0,70.37,31.11,29.03,20.94
136,souillac,40.0,MU,1586574100.0,83.0,-20.52,57.52,78.01,6.93
137,jamestown,90.0,US,1586573952.0,80.0,42.1,-79.24,39.2,6.93
138,bababe,,,,,,,,
139,sitangkai,82.0,PH,1586574101.0,71.0,4.66,119.39,82.71,2.33
140,carballo,75.0,ES,1586574101.0,100.0,43.21,-8.69,57.0,4.29
141,palabuhanratu,,,,,,,,
142,mount gambier,75.0,AU,1586574102.0,54.0,-37.83,140.77,57.2,26.4
143,batouri,100.0,CM,1586574102.0,80.0,4.43,14.37,71.08,2.91
144,miramar,90.0,US,1586574102.0,74.0,25.99,-80.23,81.0,12.75
145,henties bay,28.0,NA,1586574102.0,50.0,-22.12,14.28,74.32,4.88
146,jalu,0.0,LY,1586574103.0,66.0,29.03,21.55,54.72,9.1
147,lebu,70.0,CL,1586574103.0,86.0,-37.62,-73.65,56.68,11.77
148,karratha,2.0,AU,1586574046.0,33.0,-20.74,116.85,90.0,3.91
149,lyngseidet,90.0,NO,1586574103.0,92.0,69.58,20.22,26.6,23.04
150,kegayli,,,,,,,,
151,duayaw nkwanta,96.0,GH,1586574104.0,84.0,7.17,-2.1,70.45,1.5
152,vanavara,98.0,RU,1586573843.0,73.0,60.34,102.28,35.65,9.53
153,san cristobal,69.0,VE,1586574104.0,62.0,7.77,-72.22,69.01,2.08
